disease,pain,respiratory,fever,digestive,urinary,skin,neurological,vision,energy,mental,joint_muscle,appetite_weight,other
Fungal infection,,,,,,"dischromic__patches,itching,nodal_skin_eruptions,skin_rash",,,,,,,
Fungal infection,,,,,,"dischromic__patches,nodal_skin_eruptions,skin_rash",,,,,,,
Fungal infection,,,,,,"dischromic__patches,itching,nodal_skin_eruptions",,,,,,,
Fungal infection,,,,,,"dischromic__patches,itching,skin_rash",,,,,,,
Fungal infection,,,,,,"itching,nodal_skin_eruptions,skin_rash",,,,,,,
Fungal infection,,,,,,"dischromic__patches,nodal_skin_eruptions,skin_rash",,,,,,,
Fungal infection,,,,,,"dischromic__patches,itching,nodal_skin_eruptions",,,,,,,
Fungal infection,,,,,,"dischromic__patches,itching,skin_rash",,,,,,,
Fungal infection,,,,,,"itching,nodal_skin_eruptions,skin_rash",,,,,,,
Fungal infection,,,,,,"dischromic__patches,itching,nodal_skin_eruptions,skin_rash",,,,,,,
Allergy,,continuous_sneezing,"chills,shivering",,,,,watering_from_eyes,,,,,
Allergy,,,"chills,shivering",,,,,watering_from_eyes,,,,,
Allergy,,continuous_sneezing,chills,,,,,watering_from_eyes,,,,,
Allergy,,continuous_sneezing,shivering,,,,,watering_from_eyes,,,,,
Allergy,,continuous_sneezing,"chills,shivering",,,,,,,,,,
Allergy,,,"chills,shivering",,,,,watering_from_eyes,,,,,
Allergy,,continuous_sneezing,chills,,,,,watering_from_eyes,,,,,
Allergy,,continuous_sneezing,shivering,,,,,watering_from_eyes,,,,,
Allergy,,continuous_sneezing,"chills,shivering",,,,,,,,,,
Allergy,,continuous_sneezing,"chills,shivering",,,,,watering_from_eyes,,,,,
GERD,"chest_pain,stomach_pain",cough,,"acidity,vomiting",,,,,,,,,ulcers_on_tongue
GERD,"chest_pain,stomach_pain",cough,,vomiting,,,,,,,,,ulcers_on_tongue
GERD,"chest_pain,stomach_pain",cough,,"acidity,vomiting",,,,,,,,,
GERD,"chest_pain,stomach_pain",cough,,acidity,,,,,,,,,ulcers_on_tongue
GERD,"chest_pain,stomach_pain",,,"acidity,vomiting",,,,,,,,,ulcers_on_tongue
GERD,stomach_pain,cough,,"acidity,vomiting",,,,,,,,,ulcers_on_tongue
GERD,chest_pain,cough,,"acidity,vomiting",,,,,,,,,ulcers_on_tongue
GERD,"chest_pain,stomach_pain",cough,,vomiting,,,,,,,,,ulcers_on_tongue
GERD,"chest_pain,stomach_pain",cough,,"acidity,vomiting",,,,,,,,,
GERD,"chest_pain,stomach_pain",cough,,acidity,,,,,,,,,ulcers_on_tongue
Chronic cholestasis,abdominal_pain,,,"nausea,vomiting",,"itching,yellowish_skin",,yellowing_of_eyes,loss_of_appetite,,,,
Chronic cholestasis,abdominal_pain,,,"nausea,vomiting",,yellowish_skin,,yellowing_of_eyes,loss_of_appetite,,,,
Chronic cholestasis,abdominal_pain,,,nausea,,"itching,yellowish_skin",,yellowing_of_eyes,loss_of_appetite,,,,
Chronic cholestasis,abdominal_pain,,,"nausea,vomiting",,itching,,yellowing_of_eyes,loss_of_appetite,,,,
Chronic cholestasis,abdominal_pain,,,vomiting,,"itching,yellowish_skin",,yellowing_of_eyes,loss_of_appetite,,,,
Chronic cholestasis,abdominal_pain,,,"nausea,vomiting",,"itching,yellowish_skin",,yellowing_of_eyes,,,,,
Chronic cholestasis,,,,"nausea,vomiting",,"itching,yellowish_skin",,yellowing_of_eyes,loss_of_appetite,,,,
Chronic cholestasis,abdominal_pain,,,"nausea,vomiting",,"itching,yellowish_skin",,,loss_of_appetite,,,,
Chronic cholestasis,abdominal_pain,,,"nausea,vomiting",,"itching,yellowish_skin",,yellowing_of_eyes,loss_of_appetite,,,,
Chronic cholestasis,abdominal_pain,,,"nausea,vomiting",,"itching,yellowish_skin",,yellowing_of_eyes,loss_of_appetite,,,,
Drug Reaction,stomach_pain,,,,"burning_micturition,spotting__urination","itching,skin_rash",,,,,,,
Drug Reaction,stomach_pain,,,,"burning_micturition,spotting__urination",itching,,,,,,,
Drug Reaction,,,,,"burning_micturition,spotting__urination","itching,skin_rash",,,,,,,
Drug Reaction,stomach_pain,,,,spotting__urination,"itching,skin_rash",,,,,,,
Drug Reaction,stomach_pain,,,,burning_micturition,"itching,skin_rash",,,,,,,
Drug Reaction,stomach_pain,,,,"burning_micturition,spotting__urination",skin_rash,,,,,,,
Drug Reaction,stomach_pain,,,,"burning_micturition,spotting__urination",itching,,,,,,,
Drug Reaction,,,,,"burning_micturition,spotting__urination","itching,skin_rash",,,,,,,
Drug Reaction,stomach_pain,,,,spotting__urination,"itching,skin_rash",,,,,,,
Drug Reaction,stomach_pain,,,,burning_micturition,"itching,skin_rash",,,,,,,
Peptic ulcer diseae,abdominal_pain,,,"passage_of_gases,vomiting",,internal_itching,,,loss_of_appetite,,,,
Peptic ulcer diseae,abdominal_pain,,,"indigestion,passage_of_gases,vomiting",,internal_itching,,,,,,,
Peptic ulcer diseae,abdominal_pain,,,"indigestion,passage_of_gases",,internal_itching,,,loss_of_appetite,,,,
Peptic ulcer diseae,abdominal_pain,,,"passage_of_gases,vomiting",,internal_itching,,,loss_of_appetite,,,,
Peptic ulcer diseae,abdominal_pain,,,"indigestion,passage_of_gases,vomiting",,internal_itching,,,,,,,
Peptic ulcer diseae,,,,"indigestion,passage_of_gases,vomiting",,internal_itching,,,loss_of_appetite,,,,
Peptic ulcer diseae,abdominal_pain,,,"indigestion,vomiting",,internal_itching,,,loss_of_appetite,,,,
Peptic ulcer diseae,abdominal_pain,,,"indigestion,passage_of_gases,vomiting",,,,,loss_of_appetite,,,,
Peptic ulcer diseae,abdominal_pain,,,"indigestion,passage_of_gases,vomiting",,internal_itching,,,loss_of_appetite,,,,
Peptic ulcer diseae,abdominal_pain,,,"indigestion,passage_of_gases,vomiting",,internal_itching,,,loss_of_appetite,,,,
AIDS,,patches_in_throat,high_fever,,,,,,,,muscle_wasting,,extra_marital_contacts
AIDS,,patches_in_throat,high_fever,,,,,,,,,,extra_marital_contacts
AIDS,,,high_fever,,,,,,,,muscle_wasting,,extra_marital_contacts
AIDS,,patches_in_throat,,,,,,,,,muscle_wasting,,extra_marital_contacts
AIDS,,patches_in_throat,high_fever,,,,,,,,muscle_wasting,,
AIDS,,patches_in_throat,high_fever,,,,,,,,muscle_wasting,,extra_marital_contacts
AIDS,,patches_in_throat,high_fever,,,,,,,,muscle_wasting,,extra_marital_contacts
AIDS,,patches_in_throat,high_fever,,,,,,,,,,extra_marital_contacts
AIDS,,,high_fever,,,,,,,,muscle_wasting,,extra_marital_contacts
AIDS,,patches_in_throat,high_fever,,,,,,,,muscle_wasting,,
